location,date,vaccine,total_vaccinations
Austria,8/01/2021,Johnson&Johnson,0
Austria,8/01/2021,Moderna,0
Austria,8/01/2021,Oxford/AstraZeneca,0
Austria,8/01/2021,Pfizer/BioNTech,30938
Austria,15/01/2021,Johnson&Johnson,0
Austria,15/01/2021,Moderna,88
Austria,15/01/2021,Oxford/AstraZeneca,0
Austria,15/01/2021,Pfizer/BioNTech,115489
Austria,22/01/2021,Johnson&Johnson,0
Austria,22/01/2021,Moderna,298
Austria,22/01/2021,Oxford/AstraZeneca,0
Austria,22/01/2021,Pfizer/BioNTech,212685
Austria,29/01/2021,Johnson&Johnson,0
Austria,29/01/2021,Moderna,4162
Austria,29/01/2021,Oxford/AstraZeneca,0
Austria,29/01/2021,Pfizer/BioNTech,257302
Austria,5/02/2021,Johnson&Johnson,0
Austria,5/02/2021,Moderna,5842
Austria,5/02/2021,Oxford/AstraZeneca,2
Austria,5/02/2021,Pfizer/BioNTech,352578
Austria,12/02/2021,Johnson&Johnson,0
Austria,12/02/2021,Moderna,9909
Austria,12/02/2021,Oxford/AstraZeneca,10769
Austria,12/02/2021,Pfizer/BioNTech,453512
Austria,19/02/2021,Johnson&Johnson,0
Austria,19/02/2021,Moderna,14028
Austria,19/02/2021,Oxford/AstraZeneca,43486
Austria,19/02/2021,Pfizer/BioNTech,519022
Austria,26/02/2021,Johnson&Johnson,0
Austria,26/02/2021,Moderna,22299
Austria,26/02/2021,Oxford/AstraZeneca,101181
Austria,26/02/2021,Pfizer/BioNTech,579984
Austria,5/03/2021,Johnson&Johnson,0
Austria,5/03/2021,Moderna,31549
Austria,5/03/2021,Oxford/AstraZeneca,155850
Austria,5/03/2021,Pfizer/BioNTech,684045
Austria,12/03/2021,Johnson&Johnson,0
Austria,12/03/2021,Moderna,46850
Austria,12/03/2021,Oxford/AstraZeneca,234056
Austria,12/03/2021,Pfizer/BioNTech,846943
Austria,19/03/2021,Johnson&Johnson,13
Austria,19/03/2021,Moderna,78557
Austria,19/03/2021,Oxford/AstraZeneca,307062
Austria,19/03/2021,Pfizer/BioNTech,979059
Austria,26/03/2021,Johnson&Johnson,21
Austria,26/03/2021,Moderna,103870
Austria,26/03/2021,Oxford/AstraZeneca,381968
Austria,26/03/2021,Pfizer/BioNTech,1124524
Austria,2/04/2021,Johnson&Johnson,34
Austria,2/04/2021,Moderna,140057
Austria,2/04/2021,Oxford/AstraZeneca,420389
Austria,2/04/2021,Pfizer/BioNTech,1271830
Austria,9/04/2021,Johnson&Johnson,57
Austria,9/04/2021,Moderna,179397
Austria,9/04/2021,Oxford/AstraZeneca,510450
Austria,9/04/2021,Pfizer/BioNTech,1492535
Austria,16/04/2021,Johnson&Johnson,60
Austria,16/04/2021,Moderna,221646
Austria,16/04/2021,Oxford/AstraZeneca,605892
Austria,16/04/2021,Pfizer/BioNTech,1725101
Austria,23/04/2021,Johnson&Johnson,64
Austria,23/04/2021,Moderna,258792
Austria,23/04/2021,Oxford/AstraZeneca,654452
Austria,23/04/2021,Pfizer/BioNTech,1987657
Austria,30/04/2021,Johnson&Johnson,316
Austria,30/04/2021,Moderna,297565
Austria,30/04/2021,Oxford/AstraZeneca,696392
Austria,30/04/2021,Pfizer/BioNTech,2260066
Austria,7/05/2021,Johnson&Johnson,6409
Austria,7/05/2021,Moderna,346509
Austria,7/05/2021,Oxford/AstraZeneca,758865
Austria,7/05/2021,Pfizer/BioNTech,2589348
