,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
0,Afghanistan,AFG,22/02/2021,0,0,3041823.96,112209.42,0,11.26,3376.55,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
1,Afghanistan,AFG,23/02/2021,1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
2,Afghanistan,AFG,24/02/2021,1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
3,Afghanistan,AFG,25/02/2021,1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
4,Afghanistan,AFG,26/02/2021,1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
5,Afghanistan,AFG,27/02/2021,1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
6,Afghanistan,AFG,28/02/2021,8200,8200,3041823.96,1367,0.02,11.26,35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
7,Afghanistan,AFG,1/03/2021,1094522.96,5341596.08,3041823.96,1580,27.29,11.26,41,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
8,Afghanistan,AFG,2/03/2021,1094522.96,5341596.08,3041823.96,1794,27.29,11.26,46,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
9,Afghanistan,AFG,3/03/2021,1094522.96,5341596.08,3041823.96,2008,27.29,11.26,52,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
10,Afghanistan,AFG,4/03/2021,1094522.96,5341596.08,3041823.96,2221,27.29,11.26,57,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
11,Afghanistan,AFG,5/03/2021,1094522.96,5341596.08,3041823.96,2435,27.29,11.26,63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
12,Afghanistan,AFG,6/03/2021,1094522.96,5341596.08,3041823.96,2649,27.29,11.26,68,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
13,Afghanistan,AFG,7/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
14,Afghanistan,AFG,8/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
15,Afghanistan,AFG,9/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
16,Afghanistan,AFG,10/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
17,Afghanistan,AFG,11/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
18,Afghanistan,AFG,12/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
19,Afghanistan,AFG,13/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
20,Afghanistan,AFG,14/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
21,Afghanistan,AFG,15/03/2021,1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
22,Afghanistan,AFG,16/03/2021,54000,54000,3041823.96,2862,0.14,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
23,Afghanistan,AFG,17/03/2021,1094522.96,5341596.08,3041823.96,2882,27.29,11.26,74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
24,Afghanistan,AFG,18/03/2021,1094522.96,5341596.08,3041823.96,2902,27.29,11.26,75,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
25,Afghanistan,AFG,19/03/2021,1094522.96,5341596.08,3041823.96,2921,27.29,11.26,75,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
26,Afghanistan,AFG,20/03/2021,1094522.96,5341596.08,3041823.96,2941,27.29,11.26,76,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
27,Afghanistan,AFG,21/03/2021,1094522.96,5341596.08,3041823.96,2961,27.29,11.26,76,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
28,Afghanistan,AFG,22/03/2021,1094522.96,5341596.08,3041823.96,2980,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
29,Afghanistan,AFG,23/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
30,Afghanistan,AFG,24/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
31,Afghanistan,AFG,25/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
32,Afghanistan,AFG,26/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
33,Afghanistan,AFG,27/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
34,Afghanistan,AFG,28/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
35,Afghanistan,AFG,29/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
36,Afghanistan,AFG,30/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
37,Afghanistan,AFG,31/03/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
38,Afghanistan,AFG,1/04/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
39,Afghanistan,AFG,2/04/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
40,Afghanistan,AFG,3/04/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
41,Afghanistan,AFG,4/04/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
42,Afghanistan,AFG,5/04/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
43,Afghanistan,AFG,6/04/2021,1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
44,Afghanistan,AFG,7/04/2021,120000,120000,3041823.96,3000,0.31,11.26,77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
45,Afghanistan,AFG,8/04/2021,1094522.96,5341596.08,3041823.96,3714,27.29,11.26,95,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
46,Afghanistan,AFG,9/04/2021,1094522.96,5341596.08,3041823.96,4429,27.29,11.26,114,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
47,Afghanistan,AFG,10/04/2021,1094522.96,5341596.08,3041823.96,5143,27.29,11.26,132,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
48,Afghanistan,AFG,11/04/2021,1094522.96,5341596.08,3041823.96,5857,27.29,11.26,150,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
49,Afghanistan,AFG,12/04/2021,1094522.96,5341596.08,3041823.96,6571,27.29,11.26,169,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
50,Afghanistan,AFG,13/04/2021,1094522.96,5341596.08,3041823.96,7286,27.29,11.26,187,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
